Código,DEPARTAMENTOS,Población Menor 1 año (Meta Programática),BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS) Dosis Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas) D. Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas) D. Unica,%,HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas D. Unica,%,ANTIPOLIO INACTIVADA (VIP) PARENTERAL<  DE 1 AÑO 1ras. Dosis,%,VOP <DE1 AÑO + VIP <1AÑO 3as 3.Dosis,%,PENTA MENOR DE UN AÑO 1ras. Dosis,%,PENTA MENOR DE UN AÑO 2das. Dosis,%,PENTA MENOR DE UN AÑO 3ras Dosis,%,ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS 1ra Dosis,%,ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS 2da Dosis,%,FLU DE 6 MESES A 11 MESES 1ra Dosis,%,FLU DE 6 MESES A 11 MESES 2da Dosis,%,Neumo (2 a 11 Meses 29 Dias) 1ra Dosis,%,Neumo (2 a 11 Meses 29 Dias) 2da Dosis,%,Población de 1 Año (Meta Programática ),SRP (T.V.) DE UN AÑO U.Dósis,%,VARICELA DE 1 AÑO 1a U.Dósis,%,F.A. 1 AÑO U.Dósis,%,Neumo de (12 meses a 23 Meses) REF.,%,Neumo de (12-23 Meses) 1ra Dosis,%,Neumo de (12-23 Meses) 2da Dosis,Neumo de (24- 35 Meses) Dosis Unica,HA 1 AÑO U. Dósis,%,VOP Al año de la 3ra Dosis 1er. Ref.,%,DPT Al año de la 3ra Dosis 1er. Ref.,%,Población 5 años (Meta Programática),VOP 5 AÑOS 2do. Ref.,%,DPT 5 AÑOS 2do. Ref.,%,SRP (T.V.) 5 AÑOS Ref.,%,FLU de 19 a 49 años ÚNICA UNICA,FLU de 50 años y más UNICA,Gestantes a partir de la semana 14 UNICA,TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS UNICA DOSIS EN CADA EMBARAZO,%,VPH 1a,2a,3a,REGION
18.0,CAQUETA,8488.0,7608.0,89.6,7278.0,85.7,122.0,1.4,7400.0,87.2,7254.0,85.5,6722.0,79.2,7256.0,85.5,7058.0,83.2,6720.0,79.2,6843.0,80.6,6759.0,79.6,6519.0,102.4,4858.0,76.3,7269.0,85.6,7069.0,83.3,8617.0,6983.0,81.0,6949.0,80.6,8602.0,99.8,6806.0,79.0,99.0,1.1488917256585818,171.0,125.0,7001.0,81.2,6225.0,72.2,6224.0,72.2,9133.0,7331.0,80.3,7334.0,80.3,7377.0,80.8,1235.0,8748.0,5558.0,6123.0,72.1,2657.0,1686.0,131.0,AMAZONIA
85.0,CASANARE,7346.0,6542.0,89.1,5791.0,78.8,17.0,0.2,5808.0,79.1,6641.0,90.4,6588.0,89.7,6644.0,90.4,6582.0,89.6,6606.0,89.9,6552.0,89.2,6500.0,88.5,5979.0,108.5,4360.0,79.1,6638.0,90.4,6521.0,88.8,7543.0,6687.0,88.7,6644.0,88.1,9301.0,123.3,6657.0,88.3,13.0,0.1723452207344558,24.0,36.0,6693.0,88.7,6829.0,90.5,6829.0,90.5,7544.0,7246.0,96.0,7252.0,96.1,7249.0,96.1,529.0,5201.0,4476.0,5700.0,77.6,1833.0,656.0,14.0,LLANOS
19.0,CAUCA,21816.0,17990.0,82.5,16170.0,74.1,1427.0,6.5,17597.0,80.7,21088.0,96.7,20713.0,94.9,21104.0,96.7,20704.0,94.9,20715.0,95.0,20429.0,93.6,20155.0,92.4,19045.0,116.4,12983.0,79.3,20417.0,93.6,20364.0,93.3,22336.0,21265.0,95.2,21039.0,94.2,19422.0,87.0,20258.0,90.7,105.0,0.4700931232091691,239.0,105.0,21078.0,94.4,19566.0,87.6,19540.0,87.5,23015.0,21289.0,92.5,21288.0,92.5,21162.0,91.9,4300.0,43452.0,12807.0,16279.0,74.6,6461.0,2238.0,145.0,PACIFICO
20.0,CESAR,23054.0,21378.0,92.7,20330.0,88.2,281.0,1.2,20611.0,89.4,22755.0,98.7,21262.0,92.2,22779.0,98.8,22054.0,95.7,21256.0,92.2,21779.0,94.5,21202.0,92.0,18349.0,106.1,13555.0,78.4,21982.0,95.4,21039.0,91.3,23487.0,22458.0,95.6,21916.0,93.3,21103.0,89.8,21197.0,90.2,393.0,1.6732660620768935,443.0,546.0,22378.0,95.3,20574.0,87.6,20581.0,87.6,24069.0,22496.0,93.5,22492.0,93.4,21944.0,91.2,608.0,26087.0,14683.0,20209.0,87.7,2350.0,963.0,26.0,CARIBE
27.0,CHOCO,11015.0,9249.0,84.0,5541.0,50.3,1586.0,14.4,7127.0,64.7,10358.0,94.0,8519.0,77.3,10363.0,94.1,9323.0,84.6,8517.0,77.3,8518.0,77.3,8053.0,73.1,7561.0,91.5,4434.0,53.7,10421.0,94.6,9363.0,85.0,11596.0,9661.0,83.3,9290.0,80.1,11850.0,102.2,9374.0,80.8,209.0,1.802345636426354,575.0,184.0,9476.0,81.7,6927.0,59.7,6929.0,59.8,11409.0,8781.0,77.0,8781.0,77.0,8757.0,76.8,2133.0,6038.0,5691.0,6880.0,62.5,2114.0,978.0,4.0,PACIFICO
23.0,CORDOBA,31722.0,26405.0,83.2,23916.0,75.4,2263.0,7.1,26179.0,82.5,28687.0,90.4,28670.0,90.4,28765.0,90.7,28533.0,89.9,28672.0,90.4,28045.0,88.4,27758.0,87.5,22699.0,95.4,15741.0,66.2,28365.0,89.4,28561.0,90.0,31986.0,28293.0,88.5,26921.0,84.2,26566.0,83.1,27811.0,86.9,170.0,0.5314825236040768,220.0,172.0,28169.0,88.1,26773.0,83.7,26766.0,83.7,32306.0,29229.0,90.5,29198.0,90.4,29058.0,89.9,8194.0,20807.0,20546.0,23799.0,75.0,3969.0,851.0,62.0,CARIBE
25.0,CUNDINAMARCA,35365.0,18824.0,53.2,17187.0,48.6,1469.0,4.2,18656.0,52.8,31640.0,89.5,33620.0,95.1,31651.0,89.5,32620.0,92.2,33628.0,95.1,31292.0,88.5,32293.0,91.3,25848.0,97.5,17760.0,67.0,31455.0,88.9,32377.0,91.6,36312.0,34536.0,95.1,33303.0,91.7,32506.0,89.5,33994.0,93.6,77.0,0.2120511125798634,96.0,184.0,33151.0,91.3,33007.0,90.9,33043.0,91.0,39499.0,35542.0,90.0,35587.0,90.1,35597.0,90.1,19053.0,73927.0,17094.0,25864.0,73.1,4325.0,1496.0,99.0,ANDINA
94.0,GUAINIA,833.0,1097.0,131.7,884.0,106.1,0.0,0.0,884.0,106.1,999.0,119.9,774.0,92.9,1001.0,120.2,925.0,111.0,777.0,93.3,797.0,95.7,764.0,91.7,707.0,113.2,418.0,66.9,1016.0,122.0,922.0,110.7,880.0,879.0,99.9,866.0,98.4,950.0,108.0,814.0,92.5,37.0,4.204545454545454,56.0,64.0,881.0,100.1,546.0,62.0,545.0,61.9,931.0,759.0,81.5,759.0,81.5,758.0,81.4,594.0,1448.0,443.0,588.0,70.6,369.0,175.0,11.0,AMAZONIA
95.0,GUAVIARE,1367.0,1328.0,97.1,1231.0,90.1,59.0,4.3,1290.0,94.4,1360.0,99.5,1277.0,93.4,1361.0,99.6,1317.0,96.3,1278.0,93.5,1303.0,95.3,1285.0,94.0,993.0,96.9,622.0,60.7,1374.0,100.5,1276.0,93.3,1377.0,1302.0,94.6,1285.0,93.3,1376.0,99.9,1262.0,91.6,1.0,0.07262164124909223,13.0,4.0,1306.0,94.8,1153.0,83.7,1153.0,83.7,1667.0,1366.0,81.9,1367.0,82.0,1377.0,82.6,583.0,1340.0,786.0,1057.0,77.3,853.0,81.0,7.0,AMAZONIA
41.0,HUILA,20242.0,20245.0,100.0,18635.0,92.1,1562.0,7.7,20197.0,99.8,19347.0,95.6,18920.0,93.5,19326.0,95.5,19042.0,94.1,18921.0,93.5,19123.0,94.5,18882.0,93.3,15907.0,104.8,12470.0,82.1,19363.0,95.7,19083.0,94.3,20627.0,19269.0,93.4,19073.0,92.5,18120.0,87.8,19211.0,93.1,43.0,0.20846463373248655,102.0,66.0,18954.0,91.9,18277.0,88.6,18287.0,88.7,20535.0,19849.0,96.7,19848.0,96.7,19887.0,96.8,7967.0,29457.0,13695.0,17316.0,85.5,3636.0,1775.0,54.0,ANDINA
44.0,LA GUAJIRA,20995.0,19777.0,94.2,16116.0,76.8,2100.0,10.0,18216.0,86.8,20068.0,95.6,18001.0,85.7,20099.0,95.7,18602.0,88.6,18098.0,86.2,17400.0,82.9,16676.0,79.4,15835.0,100.6,9138.0,58.0,19541.0,93.1,17803.0,84.8,21390.0,19502.0,91.2,19217.0,89.8,13640.0,63.8,18039.0,84.3,823.0,3.847592332865825,939.0,1793.0,19169.0,89.6,13422.0,62.7,13414.0,62.7,20940.0,17111.0,81.7,17253.0,82.4,17229.0,82.3,2882.0,8095.0,10995.0,13957.0,66.5,5195.0,1706.0,89.0,CARIBE
47.0,MAGDALENA,17466.0,14158.0,81.1,13680.0,78.3,120.0,0.7,13800.0,79.0,16708.0,95.7,15906.0,91.1,16706.0,95.6,16296.0,93.3,15905.0,91.1,16324.0,93.5,16007.0,91.6,12055.0,92.0,8448.0,64.5,16676.0,95.5,16279.0,93.2,17924.0,16502.0,92.1,16419.0,91.6,15969.0,89.1,16343.0,91.2,142.0,0.7922338763668824,188.0,235.0,16481.0,91.9,15821.0,88.3,15820.0,88.3,18494.0,16777.0,90.7,16762.0,90.6,16813.0,90.9,2500.0,11159.0,9739.0,13045.0,74.7,1743.0,721.0,19.0,CARIBE
47001.0,SANTA MARTA,8983.0,9188.0,102.3,8857.0,98.6,0.0,0.0,9080.0,101.1,8439.0,93.9,7665.0,85.3,8392.0,93.4,8114.0,90.3,7574.0,84.3,7837.0,87.2,7638.0,85.0,6235.0,92.5,4125.0,61.2,8376.0,93.2,7969.0,88.7,9053.0,8169.0,90.2,7530.0,83.2,6862.0,75.8,7927.0,87.6,88.0,0.9720534629404617,206.0,233.0,7899.0,87.3,7173.0,79.2,7272.0,80.3,9123.0,7313.0,80.2,7385.0,80.9,7172.0,78.6,6546.0,9248.0,5379.0,6499.0,72.3,1721.0,496.0,25.0,CARIBE
50.0,META,16563.0,15808.0,95.4,15771.0,95.2,98.0,0.6,15869.0,95.8,15088.0,91.1,14676.0,88.6,15082.0,91.1,15012.0,90.6,14619.0,88.3,14379.0,86.8,14354.0,86.7,10865.0,87.5,8328.0,67.0,14501.0,87.6,14093.0,85.1,16846.0,15001.0,89.0,14996.0,89.0,16260.0,96.5,13539.0,80.4,78.0,0.46301792710435713,231.0,98.0,14614.0,86.8,14312.0,85.0,14296.0,84.9,17237.0,15070.0,87.4,15115.0,87.7,15024.0,87.2,10093.0,22002.0,8367.0,12387.0,74.8,2306.0,838.0,136.0,LLANOS
52.0,NARIÑO,21185.0,19668.0,92.8,18626.0,87.9,664.0,3.1,19290.0,91.1,19338.0,91.3,19500.0,92.0,19382.0,91.5,19192.0,90.6,19504.0,92.1,18892.0,89.2,18885.0,89.1,16258.0,102.3,12232.0,77.0,19421.0,91.7,19526.0,92.2,21573.0,19693.0,91.3,19685.0,91.2,18253.0,84.6,19724.0,91.4,69.0,0.3198442497566402,144.0,145.0,19777.0,91.7,18356.0,85.1,18360.0,85.1,23071.0,19576.0,84.9,19569.0,84.8,19642.0,85.1,2279.0,62863.0,12700.0,16518.0,78.0,13398.0,9166.0,22.0,PACIFICO
54.0,NORTE DE SANTANDER,23615.0,21757.0,92.1,20045.0,84.9,1067.0,4.5,21112.0,89.4,23861.0,101.0,24532.0,103.9,24319.0,103.0,24981.0,105.8,24661.0,104.4,23781.0,100.7,23609.0,100.0,21108.0,119.2,13236.0,74.7,28044.0,118.8,24337.0,103.1,23996.0,23993.0,100.0,24932.0,103.9,19094.0,79.6,23226.0,96.8,1135.0,4.72995499249875,1459.0,746.0,23958.0,99.8,19946.0,83.1,19996.0,83.3,24010.0,21138.0,88.0,21159.0,88.1,20907.0,87.1,9716.0,28373.0,14159.0,18139.0,76.8,3226.0,1394.0,20.0,ANDINA
86.0,PUTUMAYO,4978.0,4331.0,87.0,4067.0,81.7,302.0,6.1,4369.0,87.8,4786.0,96.1,4592.0,92.2,4787.0,96.2,4682.0,94.1,4593.0,92.3,4622.0,92.8,4555.0,91.5,3257.0,87.2,2555.0,68.4,4797.0,96.4,4692.0,94.3,5156.0,4718.0,91.5,4673.0,90.6,7119.0,138.1,4696.0,91.1,32.0,0.6206361520558572,127.0,96.0,4754.0,92.2,4548.0,88.2,4554.0,88.3,5528.0,5240.0,94.8,5238.0,94.8,5260.0,95.2,770.0,9444.0,3108.0,3984.0,80.0,1832.0,815.0,30.0,AMAZONIA
63.0,QUINDIO,5966.0,6125.0,102.7,6039.0,101.2,45.0,0.8,6084.0,102.0,5681.0,95.2,5579.0,93.5,5690.0,95.4,5724.0,95.9,5577.0,93.5,5690.0,95.4,5732.0,96.1,4576.0,102.3,3546.0,79.2,5751.0,96.4,5774.0,96.8,5938.0,5799.0,97.7,5787.0,97.5,5562.0,93.7,5774.0,97.2,25.0,0.42101717750084205,26.0,24.0,5481.0,92.3,5678.0,95.6,5687.0,95.8,6231.0,5830.0,93.6,5822.0,93.4,5834.0,93.6,1969.0,17717.0,3960.0,5200.0,87.2,1921.0,879.0,36.0,ANDINA
66.0,RISARALDA,11159.0,11039.0,98.9,10743.0,96.3,240.0,2.2,10983.0,98.4,10418.0,93.4,10188.0,91.3,10427.0,93.4,10351.0,92.8,10187.0,91.3,10208.0,91.5,10169.0,91.1,8852.0,105.8,6400.0,76.5,10311.0,92.4,10246.0,91.8,11247.0,10595.0,94.2,10584.0,94.1,10047.0,89.3,10201.0,90.7,75.0,0.6668444918644971,89.0,182.0,10605.0,94.3,10431.0,92.7,10315.0,91.7,11878.0,11090.0,93.4,11016.0,92.7,10840.0,91.3,2995.0,34588.0,5969.0,9239.0,82.8,2771.0,1201.0,124.0,ANDINA
88.0,SAN ANDRES ISLA,893.0,794.0,88.9,482.0,54.0,306.0,34.3,788.0,88.2,820.0,91.8,867.0,97.1,823.0,92.2,841.0,94.2,862.0,96.5,789.0,88.4,825.0,92.4,745.0,111.2,490.0,73.2,824.0,92.3,850.0,95.2,911.0,866.0,95.1,860.0,94.4,735.0,80.7,866.0,95.1,0.0,0.0,1.0,1.0,867.0,95.2,789.0,86.6,791.0,86.8,924.0,784.0,84.8,804.0,87.0,821.0,88.9,1147.0,1468.0,554.0,735.0,82.3,152.0,58.0,15.0,CARIBE
68.0,SANTANDER,33237.0,30640.0,92.2,30670.0,92.3,17.0,0.1,30687.0,92.3,29175.0,87.8,29387.0,88.4,29504.0,88.8,29388.0,88.4,29619.0,89.1,29219.0,87.9,29164.0,87.7,26155.0,104.9,20321.0,81.5,29859.0,89.8,29736.0,89.5,33357.0,29984.0,89.9,30268.0,90.7,28308.0,84.9,30151.0,90.4,307.0,0.920346553946698,175.0,362.0,29874.0,89.6,28457.0,85.3,28550.0,85.6,31679.0,29113.0,91.9,29306.0,92.5,27990.0,88.4,14048.0,50822.0,20309.0,25680.0,77.3,3976.0,2840.0,416.0,ANDINA
70.0,SUCRE,15463.0,14992.0,97.0,12247.0,79.2,2659.0,17.2,14906.0,96.4,15220.0,98.4,14257.0,92.2,15268.0,98.7,14755.0,95.4,14247.0,92.1,14875.0,96.2,14302.0,92.5,10464.0,90.2,9441.0,81.4,15451.0,99.9,14664.0,94.8,15738.0,14752.0,93.7,14361.0,91.3,14108.0,89.6,14581.0,92.6,112.0,0.7116533231668573,143.0,194.0,14741.0,93.7,14153.0,89.9,14138.0,89.8,17175.0,16058.0,93.5,16057.0,93.5,16052.0,93.5,5726.0,26179.0,11281.0,13690.0,88.5,570.0,325.0,61.0,CARIBE
73.0,TOLIMA,18848.0,16503.0,87.6,15402.0,81.7,865.0,4.6,16267.0,86.3,17250.0,91.5,16827.0,89.3,17264.0,91.6,17270.0,91.6,16749.0,88.9,17147.0,91.0,17234.0,91.4,14310.0,101.2,9334.0,66.0,17088.0,90.7,17065.0,90.5,19010.0,17589.0,92.5,17083.0,89.9,16545.0,87.0,17373.0,91.4,49.0,0.2577590741714887,60.0,151.0,17021.0,89.5,16889.0,88.8,16866.0,88.7,19927.0,17735.0,89.0,17696.0,88.8,17519.0,87.9,9298.0,30002.0,9212.0,14868.0,78.9,3365.0,1354.0,37.0,ANDINA
76.0,VALLE DEL CAUCA,57449.0,50642.0,88.2,46581.0,81.1,4007.0,7.0,50588.0,88.1,54615.0,95.1,54918.0,95.6,54947.0,95.6,54820.0,95.4,54670.0,95.2,54573.0,95.0,54372.0,94.6,36587.0,84.9,25972.0,60.3,54541.0,94.9,54364.0,94.6,58240.0,55992.0,96.1,56228.0,96.5,54410.0,93.4,55354.0,95.0,2096.0,3.5989010989010985,471.0,2190.0,55465.0,95.2,54461.0,93.5,54693.0,93.9,58790.0,55884.0,95.1,56161.0,95.5,55916.0,95.1,34762.0,110675.0,28213.0,49125.0,85.5,7864.0,4396.0,1011.0,PACIFICO
76109.0,BUENAVENTURA,5898.0,4861.0,82.4,4500.0,76.3,0.0,0.0,4590.0,77.8,5004.0,84.8,4009.0,68.0,5038.0,85.4,4610.0,78.2,4047.0,68.6,4464.0,75.7,4218.0,71.5,3503.0,79.2,2193.0,49.6,5036.0,85.4,4573.0,77.5,6138.0,4689.0,76.4,4550.0,74.1,3383.0,55.1,4521.0,73.7,102.0,1.6617790811339197,220.0,326.0,4619.0,75.3,3592.0,58.5,3614.0,58.9,7012.0,4585.0,65.4,4591.0,65.5,4504.0,64.2,5486.0,8517.0,3419.0,3952.0,67.0,1193.0,265.0,34.0,PACIFICO
97.0,VAUPES,831.0,716.0,86.2,334.0,40.2,254.0,30.6,588.0,70.8,694.0,83.5,703.0,84.6,699.0,84.1,639.0,76.9,694.0,83.5,568.0,68.4,548.0,65.9,517.0,83.0,263.0,42.2,700.0,84.2,653.0,78.6,862.0,746.0,86.5,691.0,80.2,765.0,88.7,726.0,84.2,17.0,1.9721577726218096,31.0,46.0,751.0,87.1,489.0,56.7,490.0,56.8,822.0,766.0,93.2,767.0,93.3,752.0,91.5,160.0,1140.0,311.0,563.0,67.7,501.0,204.0,15.0,AMAZONIA
99.0,VICHADA,1821.0,1517.0,83.3,791.0,43.4,166.0,9.1,957.0,52.6,1780.0,97.7,1099.0,60.4,1774.0,97.4,1475.0,81.0,1099.0,60.4,1199.0,65.8,1134.0,62.3,1079.0,79.0,641.0,46.9,1802.0,99.0,1407.0,77.3,1871.0,1665.0,89.0,1409.0,75.3,2081.0,111.2,1334.0,71.3,129.0,6.894708711918759,208.0,88.0,1605.0,85.8,917.0,49.0,908.0,48.5,1841.0,1254.0,68.1,1243.0,67.5,1161.0,63.1,256.0,1124.0,678.0,1031.0,56.6,379.0,103.0,6.0,LLANOS
