Código,DEPARTAMENTOS,Población Menor 1 año (Meta Programática),BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS) Dosis Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas) D. Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas) D. Unica,%,HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas D. Unica,%,ANTIPOLIO INACTIVADA (VIP) PARENTERAL <  DE 1 AÑO 1ras. Dosis,%,VOP <DE1 AÑO + VIP <1AÑO 3as 3.Dosis,%,PENTA MENOR DE UN AÑO 1ras. Dosis,%,PENTA MENOR DE UN AÑO 2das. Dosis,%,PENTA MENOR DE UN AÑO 3ras .Dosis,%,ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS 1ra Dosis,%,ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS 2da Dosis,%,FLU DE 6 MESES A 11 MESES 1ra Dosis,%,FLU DE 6 MESES A 11 MESES 2da Dosis,%,Neumo (2 a 11 Meses 29 Dias) 1ra Dosis,%,Neumo (2 a 11 Meses 29 Dias) 2da Dosis,%,Población de 1 Año (Meta Programática ),SRP (T.V.) DE UN AÑO U.Dósis,%,VARICELA DE 1 AÑO 1a U.Dósis,%,F.A. 1 AÑO U.Dósis,%,Neumo de (12 meses a 23 Meses) REF.,%,Neumo de (12-23 Meses) 1ra Dosis,%,Neumo de (12-23 Meses) 2da Dosis,Neumo de (24- 35 Meses) Dosis Unica,HA 1 AÑO U. Dósis,%,VOP Al año de la 3ra Dosis 1er. Ref.,%,DPT Al año de la 3ra Dosis 1er. Ref.,%,Población 5 años (Meta Programática),VOP 5 AÑOS 2do. Ref.,%,DPT 5 AÑOS 2do. Ref.,%,SRP (T.V.) 5 AÑOS Ref.,%,FLU de 19 a 49 años ÚNICA UNICA,FLU de 50 años y más UNICA,Gestantes a partir de la semana 14 UNICA,TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS UNICA DOSIS EN CADA EMBARAZO,%,VPH Pob. VPH Niñas de 9 años,1a,%,2a,REGION
18.0,CAQUETA,7880.0,7285.0,92.4,4681.0,59.4,2389.0,30.3,7070.0,89.7,7177.0,91.1,6819.0,86.5,7177.0,91.1,7044.0,89.4,6823.0,86.59,6747.0,85.6,6738.0,85.5,6646.0,112.5,5157.0,87.3,7185.0,91.2,7046.0,89.4,7870.0,7325.0,93.1,7315.0,92.9,7635.0,97.0,7160.0,91.0,85.0,1.0800508259212198,148.0,100.0,7343.0,93.3,6216.0,79.0,6216.0,79.0,8384.0,7022.0,83.8,7021.0,83.7,7076.0,84.4,2217.0,11608.0,6474.0,6217.0,78.9,3889.0,1454.0,37.38750321419388,346.0,AMAZONIA
85.0,CASANARE,7308.0,6053.0,82.8,5947.0,81.4,35.0,0.5,5982.0,81.9,6461.0,88.4,6500.0,88.9,6471.0,88.5,6601.0,90.3,6497.0,88.9,6405.0,87.6,6533.0,89.4,6287.0,114.7,5203.0,94.9,6469.0,88.5,6565.0,89.8,7411.0,6835.0,92.2,6827.0,92.1,7037.0,95.0,6846.0,92.4,15.0,0.20240183510997167,26.0,35.0,6851.0,92.4,6613.0,89.2,6612.0,89.2,7687.0,7057.0,91.8,7056.0,91.8,7055.0,91.8,2376.0,11389.0,5376.0,5460.0,74.7,3246.0,906.0,27.911275415896487,241.0,LLANOS
19.0,CAUCA,22109.0,16596.0,75.1,14272.0,64.6,1944.0,8.8,16216.0,73.3,19546.0,88.4,20543.0,92.9,19548.0,88.4,19797.0,89.5,20547.0,92.94,19020.0,86.0,19352.0,87.5,18890.0,113.9,14340.0,86.5,19571.0,88.5,19960.0,90.3,22724.0,21279.0,93.6,21097.0,92.8,18806.0,82.8,21362.0,94.0,87.0,0.382855131138884,179.0,133.0,21134.0,93.0,18884.0,83.1,18896.0,83.2,23406.0,20863.0,89.1,20845.0,89.1,20858.0,89.1,5429.0,45100.0,15132.0,16179.0,73.2,10592.0,3474.0,32.79833836858006,738.0,PACIFICO
20.0,CESAR,23192.0,22214.0,95.8,21069.0,90.8,400.0,1.7,21469.0,92.6,23437.0,101.1,22560.0,97.3,23433.0,101.0,23095.0,99.6,22573.0,97.33,21520.0,92.8,20946.0,90.3,20959.0,120.5,15682.0,90.2,25013.0,107.9,23750.0,102.4,23773.0,24429.0,102.8,24178.0,101.7,21647.0,91.1,23830.0,100.2,1286.0,5.409498170193077,1091.0,1788.0,24789.0,104.3,20559.0,86.5,20519.0,86.3,25149.0,22543.0,89.6,22464.0,89.3,22564.0,89.7,6433.0,27847.0,18907.0,20879.0,90.0,9539.0,2759.0,28.923367229269314,485.0,CARIBE
27.0,CHOCO,10788.0,9441.0,87.5,5750.0,53.3,1346.0,12.5,7096.0,65.8,10886.0,100.9,9192.0,85.2,10889.0,100.9,10000.0,92.7,9199.0,85.27,8622.0,79.9,8446.0,78.3,9353.0,115.6,5556.0,68.7,10798.0,100.1,9948.0,92.2,11304.0,10747.0,95.1,10841.0,95.9,11099.0,98.2,10169.0,90.0,254.0,2.2469922151450814,699.0,107.0,10896.0,96.4,6780.0,60.0,6781.0,60.0,11469.0,8816.0,76.9,8815.0,76.9,8878.0,77.4,2055.0,6203.0,6777.0,6937.0,64.3,4485.0,1342.0,29.921962095875138,356.0,PACIFICO
23.0,CORDOBA,31959.0,26796.0,83.8,24747.0,77.4,1316.0,4.1,26063.0,81.6,27894.0,87.3,27831.0,87.1,27829.0,87.1,27914.0,87.3,27811.0,87.02,27204.0,85.1,27417.0,85.8,26537.0,110.7,20960.0,87.4,27915.0,87.3,27938.0,87.4,32140.0,29019.0,90.3,28999.0,90.2,27002.0,84.0,28682.0,89.2,219.0,0.6813939016801493,286.0,510.0,29043.0,90.4,26943.0,83.8,27030.0,84.1,33063.0,28619.0,86.6,28658.0,86.7,28656.0,86.7,11689.0,26705.0,23031.0,24452.0,76.5,15629.0,3780.0,24.185808433041142,694.0,CARIBE
25.0,CUNDINAMARCA,34881.0,17249.0,49.5,14295.0,41.0,2837.0,8.1,17132.0,49.1,31368.0,89.9,33684.0,96.6,31361.0,89.9,32643.0,93.6,33683.0,96.57,31053.0,89.0,32361.0,92.8,29321.0,112.1,20636.0,78.9,31528.0,90.4,32691.0,93.7,36013.0,35425.0,98.4,35601.0,98.9,32690.0,90.8,35324.0,98.1,218.0,0.6053369616527365,198.0,510.0,36087.0,100.2,32802.0,91.1,32850.0,91.2,38315.0,35614.0,93.0,35720.0,93.2,35729.0,93.3,15669.0,79230.0,19870.0,25694.0,73.7,20541.0,4647.0,22.623046589747332,737.0,ANDINA
94.0,GUAINIA,842.0,1048.0,124.5,861.0,102.3,7.0,0.8,868.0,103.1,1034.0,122.8,893.0,106.1,1033.0,122.7,943.0,112.0,893.0,106.06,822.0,97.6,789.0,93.7,790.0,125.1,552.0,87.4,1044.0,124.0,938.0,111.4,884.0,1032.0,116.7,1019.0,115.3,1045.0,118.2,946.0,107.0,67.0,7.579185520361991,104.0,76.0,1042.0,117.9,648.0,73.3,649.0,73.4,950.0,828.0,87.2,830.0,87.4,847.0,89.2,2097.0,2311.0,544.0,681.0,80.9,319.0,208.0,65.20376175548589,8.0,AMAZONIA
95.0,GUAVIARE,1379.0,1331.0,96.5,1224.0,88.8,72.0,5.2,1296.0,94.0,1322.0,95.9,1368.0,99.2,1322.0,95.9,1340.0,97.2,1370.0,99.35,1261.0,91.4,1285.0,93.2,1000.0,96.7,884.0,85.5,1328.0,96.3,1357.0,98.4,1386.0,1403.0,101.2,1410.0,101.7,1435.0,103.5,1419.0,102.4,5.0,0.36075036075036077,11.0,8.0,1404.0,101.3,1220.0,88.0,1221.0,88.1,1673.0,1336.0,79.9,1336.0,79.9,1343.0,80.3,519.0,1456.0,1003.0,1183.0,85.8,740.0,290.0,39.189189189189186,108.0,AMAZONIA
41.0,HUILA,20109.0,19127.0,95.1,18258.0,90.8,872.0,4.3,19130.0,95.1,18631.0,92.7,18544.0,92.2,18627.0,92.6,18699.0,93.0,18541.0,92.2,18406.0,91.5,18514.0,92.1,16158.0,107.1,13220.0,87.7,18614.0,92.6,18676.0,92.9,20502.0,19559.0,95.4,19414.0,94.7,18310.0,89.3,19414.0,94.7,65.0,0.31704223978148477,90.0,119.0,19790.0,96.5,18483.0,90.2,18478.0,90.1,20876.0,19904.0,95.3,19907.0,95.4,19935.0,95.5,4633.0,34205.0,14210.0,16948.0,84.3,9964.0,2908.0,29.18506623845845,798.0,ANDINA
44.0,LA_GUAJIRA,21078.0,21362.0,101.3,17601.0,83.5,2126.0,10.1,19727.0,93.6,21130.0,100.2,19098.0,90.6,21134.0,100.3,19525.0,92.6,19096.0,90.6,18444.0,87.5,17678.0,83.9,18662.0,118.1,12509.0,79.1,21873.0,103.8,19797.0,93.9,21574.0,20981.0,97.3,20701.0,96.0,14063.0,65.2,20194.0,93.6,1127.0,5.223880597014925,1099.0,2784.0,21052.0,97.6,14174.0,65.7,14177.0,65.7,22023.0,17215.0,78.2,17229.0,78.2,17221.0,78.2,3844.0,11092.0,14483.0,14547.0,69.0,8009.0,2353.0,29.379448120864026,368.0,CARIBE
47.0,MAGDALENA,17436.0,13561.0,77.8,12833.0,73.6,302.0,1.7,13135.0,75.3,16313.0,93.6,16302.0,93.5,16315.0,93.6,16360.0,93.8,16293.0,93.44,15692.0,90.0,15861.0,91.0,14206.0,108.6,10411.0,79.6,16370.0,93.9,16317.0,93.6,17950.0,17056.0,95.0,17095.0,95.2,15466.0,86.2,16870.0,94.0,346.0,1.9275766016713092,387.0,577.0,17227.0,96.0,15387.0,85.7,15357.0,85.6,18959.0,16423.0,86.6,16442.0,86.7,16442.0,86.7,5667.0,12825.0,12613.0,13323.0,76.4,7950.0,1855.0,23.333333333333332,253.0,CARIBE
47001.0,SANTA MARTA,9091.0,8574.0,94.3,7400.0,81.4,792.0,8.7,8192.0,90.1,8466.0,93.1,7941.0,87.4,8394.0,92.3,8247.0,90.7,7956.0,87.52,7970.0,87.7,7746.0,85.2,6992.0,102.5,4710.0,69.1,8240.0,90.6,8103.0,89.1,9130.0,8400.0,92.0,8275.0,90.6,7181.0,78.7,7823.0,85.7,159.0,1.7415115005476451,167.0,290.0,8460.0,92.7,7179.0,78.6,7389.0,80.9,9458.0,7473.0,79.0,7651.0,80.9,7462.0,78.9,5867.0,11621.0,6434.0,6602.0,72.6,4490.0,856.0,19.06458797327394,171.0,CARIBE
50.0,META,16000.0,15334.0,95.8,15333.0,95.8,43.0,0.3,15376.0,96.1,14829.0,92.7,14453.0,90.3,14849.0,92.8,14819.0,92.6,14425.0,90.16,14364.0,89.8,14473.0,90.5,11777.0,98.1,8358.0,69.7,15512.0,97.0,15739.0,98.4,16307.0,15395.0,94.4,15392.0,94.4,15823.0,97.0,16054.0,98.4,121.0,0.7420126326117618,271.0,208.0,15760.0,96.6,14171.0,86.9,14171.0,86.9,17196.0,14894.0,86.6,14786.0,86.0,14901.0,86.7,12566.0,23107.0,9477.0,12268.0,76.7,7554.0,2505.0,33.161239078633834,351.0,LLANOS
52.0,NARIÑO,21309.0,18534.0,87.0,17149.0,80.5,933.0,4.4,18082.0,84.9,18614.0,87.4,18259.0,85.7,18617.0,87.4,18486.0,86.8,18253.0,85.66,18039.0,84.7,18072.0,84.8,15030.0,94.0,13041.0,81.6,18726.0,87.9,18518.0,86.9,21730.0,19585.0,90.1,19691.0,90.6,18065.0,83.1,19386.0,89.2,269.0,1.237919926369075,183.0,499.0,19748.0,90.9,18156.0,83.6,18162.0,83.6,23264.0,19227.0,82.6,19209.0,82.6,19236.0,82.7,8033.0,72349.0,15043.0,15901.0,74.6,12326.0,7023.0,56.977121531721565,4070.0,PACIFICO
54.0,NORTE_DE_SANTANDER,23758.0,20619.0,86.8,20132.0,84.7,179.0,0.8,20311.0,85.5,22131.0,93.2,22414.0,94.3,22162.0,93.3,21924.0,92.3,22065.0,92.87,21426.0,90.2,20965.0,88.2,21995.0,123.4,15901.0,89.2,23224.0,97.8,22032.0,92.7,24173.0,22408.0,92.7,19435.0,80.4,24573.0,101.7,21682.0,89.7,798.0,3.3012038224465314,734.0,540.0,23439.0,97.0,18663.0,77.2,18701.0,77.4,24111.0,20319.0,84.3,20381.0,84.5,20241.0,83.9,8868.0,40207.0,18482.0,18385.0,77.4,11287.0,2522.0,22.344289891025074,407.0,ANDINA
86.0,PUTUMAYO,4936.0,4142.0,83.9,3837.0,77.7,258.0,5.2,4095.0,83.0,4709.0,95.4,4700.0,95.2,4712.0,95.5,4736.0,95.9,4699.0,95.2,4574.0,92.7,4612.0,93.4,3152.0,85.1,2778.0,75.0,4725.0,95.7,4735.0,95.9,5039.0,4906.0,97.4,4788.0,95.0,5144.0,102.1,4850.0,96.2,36.0,0.7144274657670172,37.0,116.0,4953.0,98.3,4469.0,88.7,4488.0,89.1,5554.0,4891.0,88.1,4911.0,88.4,4945.0,89.0,1314.0,9326.0,3438.0,3967.0,80.4,2820.0,1313.0,46.56028368794326,401.0,AMAZONIA
63.0,QUINDIO,5929.0,5792.0,97.7,4853.0,81.9,895.0,15.1,5748.0,96.9,5570.0,93.9,5699.0,96.1,5571.0,94.0,5641.0,95.1,5698.0,96.1,5517.0,93.1,5549.0,93.6,5727.0,128.8,4573.0,102.8,5610.0,94.6,5655.0,95.4,5894.0,5891.0,99.9,5941.0,100.8,5578.0,94.6,5838.0,99.0,63.0,1.0688836104513064,51.0,85.0,6245.0,106.0,5620.0,95.4,5628.0,95.5,6259.0,5970.0,95.4,5956.0,95.2,5982.0,95.6,5443.0,26440.0,5162.0,5045.0,85.1,3791.0,1277.0,33.68504352413611,369.0,ANDINA
66.0,RISARALDA,10840.0,10772.0,99.4,10161.0,93.7,424.0,3.9,10585.0,97.6,10206.0,94.2,10254.0,94.6,10209.0,94.2,10169.0,93.8,10244.0,94.5,9987.0,92.1,9998.0,92.2,8568.0,105.4,6847.0,84.2,10331.0,95.3,10361.0,95.6,11014.0,10662.0,96.8,10742.0,97.5,9978.0,90.6,10551.0,95.8,165.0,1.4980933357544943,185.0,274.0,10824.0,98.3,10429.0,94.7,10446.0,94.8,12348.0,11095.0,89.9,10987.0,89.0,11038.0,89.4,5543.0,43677.0,6824.0,9103.0,84.0,6910.0,1801.0,26.063675832127352,429.0,ANDINA
88.0,SAN_ANDRES_ISLAS,895.0,743.0,83.0,213.0,23.8,526.0,58.8,739.0,82.6,789.0,88.2,815.0,91.1,785.0,87.7,799.0,89.3,824.0,92.07,761.0,85.0,779.0,87.0,684.0,101.9,587.0,87.4,790.0,88.3,796.0,88.9,916.0,820.0,89.5,811.0,88.5,752.0,82.1,818.0,89.3,0.0,0.0,1.0,3.0,821.0,89.6,773.0,84.4,776.0,84.7,926.0,825.0,89.1,828.0,89.4,829.0,89.5,1798.0,2054.0,697.0,688.0,76.9,440.0,81.0,18.409090909090907,8.0,CARIBE
68.0,SANTANDER,32581.0,28657.0,88.0,28602.0,87.8,109.0,0.3,28711.0,88.1,28702.0,88.1,28717.0,88.1,28794.0,88.4,28749.0,88.2,28753.0,88.25,28410.0,87.2,28436.0,87.3,27870.0,114.1,22475.0,92.0,28811.0,88.4,28889.0,88.7,32919.0,29716.0,90.3,29652.0,90.1,27513.0,83.6,29606.0,89.9,231.0,0.7017224095507154,268.0,449.0,30090.0,91.4,27280.0,82.9,27476.0,83.5,33449.0,28233.0,84.4,28322.0,84.7,28130.0,84.1,24805.0,79100.0,24207.0,24608.0,75.5,15211.0,3857.0,25.35664979291302,877.0,ANDINA
70.0,SUCRE,14817.0,14776.0,99.7,9801.0,66.1,4936.0,33.3,14737.0,99.5,15132.0,102.1,15111.0,102.0,15137.0,102.2,15038.0,101.5,15122.0,102.06,14563.0,98.3,14458.0,97.6,11609.0,104.5,10249.0,92.2,15246.0,102.9,15198.0,102.6,15218.0,15308.0,100.6,15232.0,100.1,13987.0,91.9,15251.0,100.2,67.0,0.4402681035615718,135.0,162.0,15381.0,101.1,13898.0,91.3,13905.0,91.4,17425.0,15230.0,87.4,15247.0,87.5,15299.0,87.8,4095.0,25900.0,12478.0,13542.0,91.4,7967.0,1917.0,24.06175473829547,109.0,CARIBE
73.0,TOLIMA,18286.0,15258.0,83.4,14052.0,76.8,1025.0,5.6,15077.0,82.5,17233.0,94.2,17361.0,94.9,17236.0,94.3,17205.0,94.1,17353.0,94.9,17062.0,93.3,17001.0,93.0,16389.0,119.5,13725.0,100.1,17396.0,95.1,17509.0,95.8,18351.0,18184.0,99.1,18166.0,99.0,16624.0,90.6,18323.0,99.8,70.0,0.381450602147022,115.0,238.0,18401.0,100.3,16723.0,91.1,16765.0,91.4,19998.0,17835.0,89.2,18026.0,90.1,17631.0,88.2,19348.0,45550.0,11189.0,14143.0,77.3,11203.0,3042.0,27.15344104257788,560.0,ANDINA
76.0,VALLE_DEL_CAUCA,51379.0,46624.0,90.7,45361.0,88.3,624.0,1.2,45985.0,89.5,52054.0,101.3,51981.0,101.2,51790.0,100.8,52278.0,101.7,52121.0,101.44,51609.0,100.4,51990.0,101.2,41491.0,107.7,32324.0,83.9,51938.0,101.1,52468.0,102.1,52858.0,52751.0,99.8,53373.0,101.0,51176.0,96.8,52531.0,99.4,1962.0,3.711831700026486,1021.0,1905.0,52766.0,99.8,51449.0,97.3,51404.0,97.2,55526.0,53212.0,95.8,54054.0,97.3,53352.0,96.1,44542.0,129202.0,31734.0,38512.0,75.0,27948.0,13480.0,48.23243165879491,9753.0,PACIFICO
76109.0,BUENAVENTURA,5113.0,4481.0,87.6,4036.0,78.9,268.0,5.2,4304.0,84.2,4575.0,89.5,3958.0,77.4,4586.0,89.7,4287.0,83.8,3955.0,77.35,4023.0,78.7,3873.0,75.7,4143.0,108.0,2977.0,77.6,4523.0,88.5,4151.0,81.2,5113.0,4608.0,90.1,4584.0,89.7,3083.0,60.3,4393.0,85.9,117.0,2.288284764326227,159.0,251.0,4624.0,90.4,3177.0,62.1,3171.0,62.0,6010.0,3914.0,65.1,3927.0,65.3,3743.0,62.3,5021.0,5474.0,3951.0,3754.0,73.4,3373.0,556.0,16.483842276904834,70.0,PACIFICO
97.0,VAUPES,828.0,782.0,94.4,273.0,33.0,323.0,39.0,596.0,72.0,778.0,94.0,645.0,77.9,779.0,94.1,714.0,86.2,641.0,77.42,669.0,80.8,636.0,76.8,592.0,95.3,428.0,68.9,774.0,93.5,712.0,86.0,861.0,723.0,84.0,738.0,85.7,757.0,87.9,676.0,78.5,15.0,1.7421602787456445,29.0,21.0,731.0,84.9,608.0,70.6,610.0,70.8,823.0,720.0,87.5,708.0,86.0,719.0,87.4,409.0,958.0,444.0,503.0,60.7,344.0,215.0,62.5,26.0,AMAZONIA
